group,label,d18O,SP,stdev(d18O),stdev(SP)
2,Manure-1,30.93,13.69,0.50,1.00
2,Manure-2,30.93,14.66,0.50,1.00
2,Manure-3,30.49,17.88,0.50,1.00
3,Urea-3,1.40,1.88,0.50,1.00
4,Manure+Urea-1,33.98,15.62,0.50,1.00
4,Manure+Urea-2,31.60,11.95,0.50,1.00
4,Manure+Urea-3,38.93,12.20,0.50,1.00
5,Control-1,28.48,-0.18,0.50,1.00
5,Control-2,18.51,1.50,0.50,1.00
5,Control-3,24.83,-0.51,0.50,1.00
6,Manure-1,25.17,21.41,0.50,1.00
6,Manure-2,21.01,14.32,0.50,1.00
6,Manure-3,18.46,6.30,0.50,1.00
7,Urea-1,42.03,0.68,0.50,1.00
7,Urea-2,40.48,0.50,0.50,1.00
7,Urea-3,34.60,0.60,0.50,1.00
8,Manure+Urea-2,37.06,-0.03,0.50,1.00
8,Manure+Urea-3,37.70,0.93,0.50,1.00
9,Control-1,27.49,8.32,0.50,1.00
9,Control-2,21.49,8.45,0.50,1.00
10,Manure-1,37.43,26.17,0.50,1.00
11,Urea-1,35.39,5.37,0.50,1.00
11,Urea-2,35.43,3.19,0.50,1.00
11,Urea-3,30.86,4.84,0.50,1.00
12,Manure+Urea-1,28.15,7.10,0.50,1.00
12,Manure+Urea-2,30.54,8.80,0.50,1.00
12,Manure+Urea-3,22.96,-0.38,0.50,1.00
